"","date","series","value","frequency","series_type","units","source","pub_date","series_id","description","table_title"
"61",1937-09-30,"Qrtrlyinfltn–evi",0.9,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"62",1937-12-31,"Qrtrlyinfltn–evi",0.8,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"63",1938-03-31,"Qrtrlyinfltn–evi",0.2,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"64",1938-06-30,"Qrtrlyinfltn–evi",1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"65",1938-09-30,"Qrtrlyinfltn–evi",1.2,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"66",1938-12-31,"Qrtrlyinfltn–evi",0,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"67",1939-03-31,"Qrtrlyinfltn–evi",1.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"68",1939-06-30,"Qrtrlyinfltn–evi",-0.2,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"69",1939-09-30,"Qrtrlyinfltn–evi",-0.1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"70",1939-12-31,"Qrtrlyinfltn–evi",1.1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"71",1940-03-31,"Qrtrlyinfltn–evi",0.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"72",1940-06-30,"Qrtrlyinfltn–evi",2.6,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"73",1940-09-30,"Qrtrlyinfltn–evi",0.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"74",1940-12-31,"Qrtrlyinfltn–evi",2.8,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"75",1941-03-31,"Qrtrlyinfltn–evi",0.9,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"76",1941-06-30,"Qrtrlyinfltn–evi",0.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"77",1941-09-30,"Qrtrlyinfltn–evi",0.9,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"78",1941-12-31,"Qrtrlyinfltn–evi",2,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"79",1942-03-31,"Qrtrlyinfltn–evi",2.3,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"80",1942-06-30,"Qrtrlyinfltn–evi",2.7,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"81",1942-09-30,"Qrtrlyinfltn–evi",2.3,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"82",1942-12-31,"Qrtrlyinfltn–evi",1.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"83",1943-03-31,"Qrtrlyinfltn–evi",0.1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"84",1943-06-30,"Qrtrlyinfltn–evi",1.8,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"85",1943-09-30,"Qrtrlyinfltn–evi",-0.9,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"86",1943-12-31,"Qrtrlyinfltn–evi",-0.9,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"87",1944-03-31,"Qrtrlyinfltn–evi",0.1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"88",1944-06-30,"Qrtrlyinfltn–evi",0.1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"89",1944-09-30,"Qrtrlyinfltn–evi",0.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"90",1944-12-31,"Qrtrlyinfltn–evi",-0.3,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"91",1945-03-31,"Qrtrlyinfltn–evi",-0.3,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"92",1945-06-30,"Qrtrlyinfltn–evi",0.2,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"93",1945-09-30,"Qrtrlyinfltn–evi",0.1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"94",1945-12-31,"Qrtrlyinfltn–evi",0.3,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"95",1946-03-31,"Qrtrlyinfltn–evi",0.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"96",1946-06-30,"Qrtrlyinfltn–evi",1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"97",1946-09-30,"Qrtrlyinfltn–evi",0.1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"98",1946-12-31,"Qrtrlyinfltn–evi",0.9,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"99",1947-03-31,"Qrtrlyinfltn–evi",0.8,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"100",1947-06-30,"Qrtrlyinfltn–evi",0.8,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"101",1947-09-30,"Qrtrlyinfltn–evi",1.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"102",1947-12-31,"Qrtrlyinfltn–evi",2.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"103",1948-03-31,"Qrtrlyinfltn–evi",2.2,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"104",1948-06-30,"Qrtrlyinfltn–evi",2.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"105",1948-09-30,"Qrtrlyinfltn–evi",2.6,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"106",1948-12-31,"Qrtrlyinfltn–evi",2.7,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"107",1949-03-31,"Qrtrlyinfltn–evi",2.6,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"108",1949-06-30,"Qrtrlyinfltn–evi",2.6,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"109",1949-09-30,"Qrtrlyinfltn–evi",2.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"110",1949-12-31,"Qrtrlyinfltn–evi",0,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
